Game,AppId
Alpha Polaris : A Horror Adventure Game,405780
Alpha Runner,387840
Alpha Version.0,359970
Alphadia Genesis,323450
ALTDEUS: Beyond Chronos,1502080
Alter World,357280
Alteric,492430
Altero,567590
Alwa's Awakening,549260
Always Remember Me,291030
Always Sometimes Monsters,274310
Always The Same Blue Sky...,363410
Amairo Chocolate,1238680
Amanda the Adventurer,2166060
Amanda the Adventurer 2,2826800
Amaranthine,454900
Amarantus,1941100
aMAZE,604780
aMAZE 2,628750
aMAZEing adventures,552870
Amazing Cultivation Simulator,955900
Amazing Princess Sarah,315850
Amber Tail Adventure,614460
Amber's Magic Shop,584940
Amberial Dreams,917140
Ambition: A Minuet in Power,949200
Ambrosia,1078350
Ame no Marginal -Rain Marginal-,348950
AMEDAMA,2411980
America's Army: Proving Grounds,203290
American Fugitive,934780
American Truck Simulator,270880
AMID EVIL,673130
Amigdala,450110
Amnesia™: Memories,359390
AMOK,446780
Amok Runner,2077650
Among Ass,1477060
Among the Heavens,409380
Among the Sleep,250620
Among Us,945360
Ampersand,410210
Amphora,331510
Ampu-Tea,289090
Amulet of Dreams,476920
Amygdala,2453920
Amygdala,369060
An Airport for Aliens Currently Run by Dogs,1246250
An Alien with a Magnet,390620
An Assassin in Orlandes,335460
An Imp? A Fiend!,354960
An Octave Higher,352780
Anarchy: Wolf's law,1133060
Anarcute,390720
Ancestors Legacy,620590
Ancestory,349840
Ancient Enemy,993790
Ancient Frontier,521790
Ancient Frontier: Steel Shadows,734730
Ancient Gods,1716940
Ancient Guardian,557580
Ancient Planet,345090
Ancient Rus,562210
Ancient Space,249190
Ancient Warfare: The Han Dynasty,1423330
Andarilho,450860
Angel Express [Tokkyu Tenshi],470480
Angel Flare,432790
Angelo and Deemon: One Hell of a Quest,945160
Angels of Death,537110
Angels of Fasaria: Version 2.0,335900
Angels That Kill - The Final Cut,383240
Angels with Scaly Wings,571880
AngerForce: Reloaded,650780
Angry Birds Space,210550
Angry Video Game Nerd Adventures,237740
Angry Video Game Nerd II: ASSimilation,409660
Anicon - Animal Complex - Cat's Path,502120
Anicon - Animal Complex - Sheep's Path,611390
Anima Gate of Memories,380750
Animal Lover,542200
Animal Rivals,617420
Animal Shelter,1239320
Animal Super Squad,703840
Animal Trail ☆ Girlish Square,1972190
ANIMALITY,576470
Animallica,638850
Animated Puzzles,379610
Animation Throwdown: The Quest for Cards,591960
ANIME - World War II,1159640
Anime Artist,1101270
Anime Artist 2: Lovely Danya,1221800
Anime Artist 3: Harem,1458590
Anime Artist: Tiffy’s notty secret,1647940
ANIME REDEMPTION,1192610
Anime Studio Simulator,508230
Anime vs Evil: Apocalypse,1992640
Ankh - Anniversary Edition,353980
ANKI,395380
Anna - Extended Edition,217690
Anna's Quest,327220
Annalynn,1508460
Annie Amber,464440
Anno 1800,916440
Anno 2070,48240
Anno 2205,375910
Anode,401120
Anodyne,234900
Anodyne 2: Return to Dust,877810
Anomalies,546780
Anomaly 2,236730
Anomaly Defenders,294750
Anomaly Korea,251530
Anomaly Warzone Earth,91200
Anomaly Warzone Earth Mobile Campaign,252170
Anomaly Zone,316390
Anon's Neko Waifus,2543050
Anonymous Hacker Simulator,2487060
ANONYMOUS;CODE,2291020
Another Brick in The Mall,521150
Another Farm Roguelike,2116850
Another Lost Phone: Laura's Story,689910
Another Sight,888630
Another Star,358030
Another Try,1197220
Anoxemia,338050
Ant War: Domination,406080
Ant-gravity: Tiny's Adventure,522890
Anthelion,494000
Antichamber,219890
Antigraviator,621020
Antihorror,496650
Antisphere,489570
Antisquad,268200
AntVentor,739190
Anvil Saga,1587540
AoF Chess Club 2.0,385020
AoF World Online,339860
Aokana - EXTRA2,2206340
Aokana - Four Rhythms Across the Blue,1044620
Aonatsu Line,2185770
Aozora Meikyuu,427980
Apartament 1406: Horror,2419900
Apartment 666,375680
Aperture Tag: The Paint Gun Testing Initiative,280740
Apewar,2306590
Apex Legends,1172470
APICO,1390190
Apocalypse Night,626170
